bootstrap_id,segmentation_method,model,accuracy,precision,recall,f1,balanced_accuracy
13,tip_middle_root_1_3_1,SVM,0.5932486631016043,0.5458656330749354,0.5113793103448276,0.49640175219023774,0.6018715754419253
13,tip_middle_root_1_3_1,Random Forest,0.5860540388404165,0.5554792167639986,0.39540229885057476,0.4309142561983471,0.5777123790715535
13,tip_middle_root_1_3_1,CNN,0.6927772305094286,0.5041806020066889,0.46080459770114945,0.4719935313143193,0.603423073696167
14,tip_middle_root_1_2_2,SVM,0.6351414699480997,0.5443051201671891,0.5643115942028986,0.5459317585301837,0.6287619798971482
14,tip_middle_root_1_2_2,Random Forest,0.7046542775824544,0.6492537313432836,0.618659420289855,0.6335167160389336,0.6916501786549122
14,tip_middle_root_1_2_2,CNN,0.6035158211953793,0.5711538461538461,0.5788043478260869,0.528957528957529,0.6098226808254859
14,tip_middle_root_1_3_1,SVM,0.6676711870082036,0.5984162895927602,0.5564613526570048,0.5691056910569106,0.654358748525123
14,tip_middle_root_1_3_1,Random Forest,0.720609409007199,0.6954022988505747,0.5682367149758454,0.6252823048281756,0.6973288029564327
14,tip_middle_root_1_3_1,CNN,0.5779340364975725,0.5333333333333333,0.39673913043478265,0.3547799271096159,0.5626168770453484
15,tip_middle_root_1_2_2,SVM,0.6162254749299283,0.5292937399678973,0.5216370687895489,0.5176417821190072,0.6023601097025835
15,tip_middle_root_1_2_2,Random Forest,0.6685144814699471,0.5984905660377358,0.5284751990202081,0.5564516129032258,0.6453937809909609
15,tip_middle_root_1_2_2,CNN,0.6336966677047648,0.5647964796479648,0.5552153500714432,0.5392696858425132,0.6118967625715623
15,tip_middle_root_1_3_1,SVM,0.6211616318903768,0.5408163265306122,0.4862216778934476,0.5019607843137255,0.60056993828894
15,tip_middle_root_1_3_1,Random Forest,0.6580037371535348,0.6039663461538461,0.42927127985303126,0.4935748462064251,0.619973808251697
15,tip_middle_root_1_3_1,CNN,0.6323575210214887,0.5105263157894737,0.4314145744029394,0.4155257393209201,0.5853522526256558
16,tip_middle_root_1_2_2,SVM,0.6143915849868515,0.4276431331225852,0.5381944444444444,0.4732782369146006,0.594892978190392
16,tip_middle_root_1_2_2,Random Forest,0.6517750418360029,0.47739872068230277,0.5347222222222222,0.498353859285453,0.6228650898909519
16,tip_middle_root_1_2_2,CNN,0.6002271097298589,0.3996828752642706,0.4930555555555556,0.4340659340659341,0.5588288387857354
16,tip_middle_root_1_3_1,SVM,0.6336062634472865,0.449332357783062,0.5555555555555556,0.4936551801928825,0.6136531093427645
16,tip_middle_root_1_3_1,Random Forest,0.6913997131245517,0.5298411885245902,0.5590277777777777,0.537124060150376,0.6604820586501621
16,tip_middle_root_1_3_1,CNN,0.6278687544824288,0.39574314574314573,0.3506944444444444,0.3321071495944161,0.5373498747421162
17,tip_middle_root_1_2_2,SVM,0.5855874697899237,0.4409722222222222,0.39305555555555555,0.4093676355066771,0.5321405345861867
17,tip_middle_root_1_2_2,Random Forest,0.6283463469046291,0.5052910052910052,0.3902777777777778,0.43858485351022664,0.5719007140202793
17,tip_middle_root_1_2_2,CNN,0.5300474065811489,0.42822784810126585,0.5,0.43139550902328144,0.5400740563784042
17,tip_middle_root_1_3_1,SVM,0.6009248931028072,0.4579041648007165,0.4125,0.4300165353564829,0.5501343764930722
17,tip_middle_root_1_3_1,Random Forest,0.6377347090537274,0.49516908212560384,0.3680555555555556,0.41798941798941797,0.5717786138981791
17,tip_middle_root_1_3_1,CNN,0.5525887711470534,0.4098972922502334,0.3305555555555556,0.30347987345914695,0.5291394595742422
18,tip_middle_root_1_2_2,SVM,0.5323946777914731,0.48735337243401755,0.4367834916475598,0.4526602073771885,0.5278149050703552
18,tip_middle_root_1_2_2,Random Forest,0.5431086248854334,0.513903743315508,0.40738617753029804,0.44462629569012546,0.536607258285697
18,tip_middle_root_1_2_2,CNN,0.6354887645776051,0.5364923747276689,0.6145594497215853,0.5705332641103612,0.6073385861621625
18,tip_middle_root_1_3_1,SVM,0.5631775228342972,0.519514472455649,0.4707664592204389,0.48670624677336083,0.5584782638567949
18,tip_middle_root_1_3_1,Random Forest,0.59084731835277,0.5793313069908814,0.39821487061906324,0.46259265184237186,0.5789233599670658
18,tip_middle_root_1_3_1,CNN,0.6103315318732025,0.45259391771019675,0.37946282345234195,0.39906497242867417,0.5547785007672669
19,tip_middle_root_1_2_2,SVM,0.6812583967756382,0.5591274397244547,0.6170634920634921,0.5863954227590591,0.66744422994423
19,tip_middle_root_1_2_2,Random Forest,0.7183534855948649,0.624692118226601,0.5932539682539683,0.6076957098628926,0.6914146289146289
19,tip_middle_root_1_2_2,CNN,0.5947902672040604,0.47554347826086957,0.5763888888888888,0.4940308988764045,0.5910764080406938
19,tip_middle_root_1_3_1,SVM,0.6967457829526795,0.5885290556900726,0.566468253968254,0.5771370023419203,0.6687139946068518
19,tip_middle_root_1_3_1,Random Forest,0.7483206448723689,0.6895256916996048,0.5813492063492063,0.627407223737499,0.7123283998283998
19,tip_middle_root_1_3_1,CNN,0.6022913867741454,0.4535415079969536,0.4107142857142857,0.3613467656415695,0.5613738738738738
