segmentation_method,model,region,color,n_samples,n_patients,accuracy,precision,recall,f1,balanced_accuracy,TN,FP,FN,TP
tip_middle_root_1_2_2,Random Forest,舌中,青紫,80,80,0.8375,0.2,0.1,0.13333333333333333,0.5214285714285715,66,4,9,1
tip_middle_root_1_2_2,Random Forest,舌左邊,淡紅,86,86,0.7558139534883721,0.5,0.47619047619047616,0.4878048780487805,0.6611721611721612,55,10,11,10
tip_middle_root_1_2_2,Random Forest,舌左邊,淡白,95,95,0.9368421052631579,0.3333333333333333,0.2,0.25,0.5888888888888889,88,2,4,1
tip_middle_root_1_2_2,Random Forest,舌左邊,鮮紅,73,73,0.7397260273972602,0.6296296296296297,0.6538461538461539,0.6415094339622641,0.7205400981996727,37,10,9,17
tip_middle_root_1_2_2,Random Forest,舌左邊,暗紅,81,81,0.6419753086419753,0.23529411764705882,0.2,0.21621621621621623,0.49344262295081964,48,13,16,4
tip_middle_root_1_2_2,Random Forest,舌左邊,青紫,71,71,0.7746478873239436,0.2857142857142857,0.4,0.3333333333333333,0.618032786885246,51,10,6,4
tip_middle_root_1_2_2,Random Forest,舌右邊,淡紅,83,83,0.8072289156626506,0.6428571428571429,0.45,0.5294117647058824,0.6853174603174603,58,5,11,9
tip_middle_root_1_2_2,Random Forest,舌右邊,淡白,93,93,0.956989247311828,0.5,0.25,0.3333333333333333,0.6193820224719101,88,1,3,1
tip_middle_root_1_2_2,Random Forest,舌右邊,鮮紅,73,73,0.8082191780821918,0.6764705882352942,0.8846153846153846,0.7666666666666667,0.8252864157119476,36,11,3,23
tip_middle_root_1_2_2,Random Forest,舌右邊,暗紅,81,81,0.6666666666666666,0.35,0.3333333333333333,0.34146341463414637,0.5583333333333333,47,13,14,7
tip_middle_root_1_2_2,Random Forest,舌右邊,青紫,71,71,0.7183098591549296,0.2,0.2727272727272727,0.23076923076923078,0.5363636363636364,48,12,8,3
tip_middle_root_1_2_2,Random Forest,舌根,淡紅,78,78,0.7307692307692307,0.4444444444444444,0.42105263157894735,0.43243243243243246,0.6257805530776093,49,10,11,8
tip_middle_root_1_2_2,Random Forest,舌根,淡白,95,95,0.9578947368421052,0.0,0.0,0.0,0.4945652173913043,91,1,3,0
tip_middle_root_1_2_2,Random Forest,舌根,鮮紅,63,63,0.8571428571428571,0.5454545454545454,0.6,0.5714285714285714,0.7528301886792452,48,5,4,6
tip_middle_root_1_2_2,Random Forest,舌根,暗紅,73,73,0.5068493150684932,0.1,0.1,0.1,0.380188679245283,35,18,18,2
tip_middle_root_1_2_2,Random Forest,舌根,青紫,97,97,0.9690721649484536,0.0,0.0,0.0,0.5,94,0,3,0
tip_middle_root_1_2_2,CNN,舌尖,淡紅,77,77,0.6233766233766234,0.35294117647058826,0.631578947368421,0.4528301886792453,0.6261343012704175,36,22,7,12
tip_middle_root_1_2_2,CNN,舌尖,淡白,94,94,0.9574468085106383,0.25,0.5,0.3333333333333333,0.7336956521739131,89,3,1,1
tip_middle_root_1_2_2,CNN,舌尖,鮮紅,72,72,0.5555555555555556,0.46551724137931033,0.9642857142857143,0.627906976744186,0.6298701298701299,13,31,1,27
tip_middle_root_1_2_2,CNN,舌尖,暗紅,81,81,0.8148148148148148,0.0,0.0,0.0,0.4925373134328358,66,1,14,0
tip_middle_root_1_2_2,CNN,舌尖,青紫,79,79,0.7974683544303798,0.0,0.0,0.0,0.4846153846153846,63,2,14,0
tip_middle_root_1_2_2,CNN,舌中,淡紅,74,74,0.5,0.23529411764705882,0.42105263157894735,0.3018867924528302,0.4741626794258373,29,26,11,8
tip_middle_root_1_2_2,CNN,舌中,淡白,95,95,0.631578947368421,0.029411764705882353,0.3333333333333333,0.05405405405405406,0.4873188405797101,59,33,2,1
tip_middle_root_1_2_2,CNN,舌中,鮮紅,67,67,0.746268656716418,0.42105263157894735,0.5714285714285714,0.48484848484848486,0.6819407008086253,42,11,6,8
tip_middle_root_1_2_2,CNN,舌中,暗紅,78,78,0.3974358974358974,0.17073170731707318,0.35,0.22950819672131148,0.38189655172413794,24,34,13,7
tip_middle_root_1_2_2,CNN,舌中,青紫,80,80,0.6875,0.10526315789473684,0.2,0.13793103448275862,0.47857142857142854,53,17,8,2
tip_middle_root_1_2_2,CNN,舌左邊,淡紅,86,86,0.6046511627906976,0.30303030303030304,0.47619047619047616,0.37037037037037035,0.5611721611721612,42,23,11,10
tip_middle_root_1_2_2,CNN,舌左邊,淡白,95,95,0.7684210526315789,0.05263157894736842,0.2,0.08333333333333333,0.5,72,18,4,1
tip_middle_root_1_2_2,CNN,舌左邊,鮮紅,73,73,0.5616438356164384,0.4423076923076923,0.8846153846153846,0.5897435897435898,0.6337970540098199,18,29,3,23
